MAIN THRUST,SUB-BRAND1,SUB-BRAND2,SUB-BRAND3,AWARENESS
327.7,0,0,78.4,41.8283333
391.3,0,0,136.4,41.6083333
398.8,0,0,201.5,41.5225
443.8,0,0,248.1,41.6991667
447.6,0,0,297.7,41.7908333
543,0,0,341.1,43.4075
603.3,0,0,386,43.68
602.1,0,0,418.2,44.1541667
609.3,0,0,416.7,44.4641667
618.4,0,0,428.3,44.37
609.7,0,0,428.7,43.5383333
597.1,0,0,421.3,45.5058333
596,0,0,422.7,44.9841667
585.2,0,0,422.8,44.9233333
574,0,0,430.9,45.2583333
562.3,0,0,387.8,44.6066667
506.1,0,0,349,44.3183333
474,0,0,314.1,44.43
554.8,0,0,282.7,44.5204167
635.7,0,0,254.4,44.1845833
687.4,0,0,229,44.2479167
736.6,0,0,206.1,45.0995833
748.5,0,0,185.5,47.10375
725.3,0,0,166.9,46.6229167
786.6,0,0,155.1,46.4479167
841.1,0,0,139.6,47.3845833
872.5,0,0,125.6,46.7579167
929.5,0,0,113.1,47.44625
955.9,0,0,101.8,47.57375
997.8,0,0,91.6,47.60625
992.6,0,0,82.4,47.5908333
893.4,0,0,74.2,47.9316667
804,0.2,0,66.8,47.3566667
723.6,0.1,0,60.1,46.8316667
753.6,0.1,36.5,54.1,45.4791667
792.2,0.1,67.2,48.7,43.5783333
821,0.1,102,43.8,44.4616667
738.9,0.1,91.8,39.4,43.9791667
721.8,0.1,106.8,35.5,44.2325
711.8,0.1,96.1,32,44.4883333
640.7,0.1,112,28.8,44.6166667
576.6,0.1,101.9,25.9,44.7033333
548.9,0.1,114.7,23.3,44.6841667
529.9,0,103.3,21,44.8125
512.6,0,113.1,18.9,45.9858333
496.3,0,101.8,17,46.04
446.7,0,118.5,15.3,45.105
443.3,0,133.1,13.8,45.2725
434.4,0,146.7,12.4,44.0775
428.2,0,132,11.1,44.4383333
407.6,13.1,139.2,55.2,44.1991667
409.5,53.8,125.3,93.9,44.3683333
395.8,80.6,112.8,125.1,44.4166667
401.9,72.6,101.5,160.8,44.1775
361.7,90.8,91.3,193.4,44.395
363.9,105.6,82.2,174,43.3516667
380.5,127.2,74,156.6,42.12125
377.6,114.5,66.6,170.9,41.5404167
376.1,132,59.9,192.6,41.8645833
338.5,134.6,67,173.3,42.0204167
428.4,121.2,87.7,184.2,42.0154167
550.7,109,79,165.8,41.4645833
610,98.1,101.5,149.2,41.49625
657.2,88.3,91.4,134.3,40.4254167
671.8,79.5,82.2,120.9,40.5720833
649,71.5,74,108.8,40.6879167
669.7,64.4,66.6,97.9,40.2795833
640.4,57.9,59.9,88.1,40.6979167
